PLAYER_NAME,TEAM_ABBREVIATION,POSITION,HEIGHT_INCHES,WEIGHT_LBS,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT
Shai Gilgeous-Alexander,OKC,PG,78,195,32.7,5.0,6.4,1.7,1.0,0.519,0.375,0.898
Giannis Antetokounmpo,MIL,PF,83,243,30.4,11.9,6.5,0.9,1.2,0.601,0.222,0.617
Nikola Jokić,DEN,C,83,284,29.6,12.7,10.2,1.8,0.6,0.576,0.417,0.8
Luka Dončić,2TM,PG,80,230,28.2,8.2,7.7,1.8,0.4,0.45,0.368,0.782
Anthony Edwards,MIN,SG,76,225,27.6,5.7,4.5,1.2,0.6,0.447,0.395,0.837
Jayson Tatum,BOS,PF,80,210,26.8,8.7,6.0,1.1,0.5,0.452,0.343,0.814
Kevin Durant,PHO,PF,83,240,26.6,6.0,4.2,0.8,1.2,0.527,0.43,0.839
Tyrese Maxey,PHI,PG,74,200,26.3,3.3,6.1,1.8,0.4,0.437,0.337,0.879
Cade Cunningham,DET,PG,78,220,26.1,6.1,9.1,1.0,0.8,0.469,0.356,0.846
Jalen Brunson,NYK,PG,74,190,26.0,2.9,7.3,0.9,0.1,0.488,0.383,0.821
Paolo Banchero,ORL,PF,82,250,25.9,7.5,4.8,0.8,0.6,0.452,0.32,0.727
Devin Booker,PHO,SG,77,206,25.6,4.1,7.1,0.9,0.2,0.461,0.332,0.894
LaMelo Ball,CHO,PG,79,180,25.2,4.9,7.4,1.1,0.3,0.405,0.339,0.843
Damian Lillard,MIL,PG,74,200,24.9,4.7,7.1,1.2,0.2,0.448,0.376,0.921
Anthony Davis,2TM,C,82,253,24.7,11.6,3.5,1.2,2.2,0.516,0.282,0.775
Kyrie Irving,DAL,SG,74,195,24.7,4.8,4.6,1.3,0.5,0.473,0.401,0.916
Zion Williamson,NOP,PF,78,284,24.6,7.2,5.3,1.2,0.9,0.567,0.231,0.656
Stephen Curry,GSW,PG,74,185,24.5,4.4,6.0,1.1,0.4,0.448,0.397,0.933
LeBron James,LAL,SF,81,250,24.4,7.8,8.2,1.0,0.6,0.513,0.376,0.782
Karl-Anthony Towns,NYK,C,84,248,24.4,12.8,3.1,1.0,0.7,0.526,0.42,0.829
Victor Wembanyama,SAS,C,88,235,24.3,11.0,3.7,1.1,3.8,0.476,0.352,0.836
Franz Wagner,ORL,SF,82,220,24.2,5.7,4.7,1.3,0.4,0.463,0.295,0.871
Trae Young,ATL,PG,74,164,24.2,3.1,11.6,1.2,0.2,0.411,0.34,0.875
Donovan Mitchell,CLE,SG,74,215,24.0,4.5,5.0,1.3,0.2,0.443,0.368,0.823
Cam Thomas,BRK,SG,75,210,24.0,3.3,3.8,0.6,0.1,0.438,0.349,0.881
Tyler Herro,MIA,SG,77,195,23.9,5.2,5.5,0.9,0.2,0.472,0.375,0.878
Joel Embiid,PHI,C,84,280,23.8,8.2,4.5,0.7,0.9,0.444,0.299,0.882
De'Aaron Fox,2TM,PG,75,185,23.5,4.8,6.3,1.5,0.4,0.463,0.31,0.827
Zach LaVine,2TM,SG,77,200,23.3,4.3,4.2,0.8,0.2,0.511,0.446,0.825
Ja Morant,MEM,PG,74,174,23.2,4.1,7.3,1.2,0.2,0.454,0.309,0.824
James Harden,LAC,PG,77,220,22.8,5.8,8.7,1.5,0.7,0.41,0.352,0.874
Jaylen Brown,BOS,SF,78,223,22.2,5.8,4.5,1.2,0.3,0.463,0.324,0.764
DeMar DeRozan,SAC,SF,78,220,22.2,3.9,4.4,0.8,0.4,0.477,0.328,0.857
Brandon Ingram,NOP,SF,80,190,22.2,5.6,5.2,0.9,0.6,0.465,0.374,0.855
Jaren Jackson Jr.,MEM,C,82,242,22.2,5.6,2.0,1.2,1.5,0.488,0.375,0.781
Norman Powell,LAC,SG,75,215,21.8,3.2,2.1,1.2,0.2,0.484,0.418,0.804
Jalen Williams,OKC,SG,77,211,21.6,5.3,5.1,1.6,0.7,0.484,0.365,0.789
Kawhi Leonard,LAC,SF,78,225,21.5,5.9,3.1,1.6,0.5,0.498,0.411,0.81
Jamal Murray,DEN,PG,76,215,21.4,3.9,6.0,1.4,0.5,0.474,0.393,0.886
Trey Murphy III,NOP,SF,80,206,21.2,5.1,3.5,1.1,0.7,0.454,0.361,0.887
RJ Barrett,TOR,SF,78,214,21.1,6.3,5.4,0.8,0.3,0.468,0.35,0.63
CJ McCollum,NOP,PG,75,190,21.1,3.8,4.1,0.8,0.4,0.444,0.373,0.717
Jalen Green,HOU,SG,76,186,21.0,4.6,3.4,0.9,0.3,0.423,0.354,0.813
Brandon Miller,CHO,SF,79,200,21.0,4.9,3.6,1.1,0.7,0.403,0.355,0.861
Darius Garland,CLE,PG,73,192,20.6,2.9,6.7,1.2,0.1,0.472,0.401,0.878
Jordan Poole,WAS,SG,76,194,20.5,3.0,4.5,1.3,0.4,0.432,0.378,0.883
Coby White,CHI,SG,76,210,20.4,3.7,4.5,0.9,0.2,0.453,0.37,0.902
Miles Bridges,CHO,PF,79,225,20.3,7.5,3.9,0.7,0.7,0.431,0.313,0.87
Austin Reaves,LAL,SG,77,197,20.2,4.5,5.8,1.1,0.3,0.46,0.377,0.877
